suite,T,D,h,sign,B,K,stress,method,n,execution_regret_mean,execution_regret_se,audits_mean,audits_se,total_regret_mean,total_regret_se,final_scale_mean,final_scale_se
horizon,8192,0.2,0.1,-1,407,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
horizon,8192,0.2,0.1,-1,407,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
horizon,8192,0.2,0.1,-1,407,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
horizon,8192,0.2,0.1,-1,407,2,0.0,Audit-only ETC,256,60.3767578125073,8.168230171409391,407.0,0.0,141.77675781250727,8.16823017140939,0.3974777334152334,0.002757945882503599
horizon,8192,0.2,0.1,-1,407,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
horizon,8192,0.2,0.1,1,407,2,0.0,SC-UCB,256,94.87382812499716,1.6867501116830894,407.0,0.0,176.27382812499718,1.6867501116830894,0.5998349201474201,0.0024704304303915076
horizon,8192,0.2,0.1,1,407,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
horizon,8192,0.2,0.1,1,407,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
horizon,8192,0.2,0.1,1,407,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
horizon,8192,0.2,0.1,1,407,2,0.0,Audit-only ETC,256,71.64166666666569,7.036681725492557,407.0,0.0,153.04166666666572,7.036681725492558,0.5998349201474201,0.0024704304303915076
horizon,8192,0.2,0.1,1,407,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
horizon,32768,0.2,0.1,-1,1024,2,0.0,SC-UCB,256,401.7896484375436,7.187714020756558,1024.0,0.0,606.5896484375436,7.187714020756556,0.39702606201171875,0.0017520604084392993
horizon,32768,0.2,0.1,-1,1024,2,0.0,Oracle-scale UCB,256,404.75156250004875,5.995169131583089,0.0,0.0,404.75156250004875,5.995169131583089,0.4000000000000001,6.952486265422992e-18
horizon,32768,0.2,0.1,-1,1024,2,0.0,Naive proxy UCB,256,1582.838671874108,0.9211152955461016,0.0,0.0,1582.838671874108,0.9211152955461016,1.0,0.0
horizon,32768,0.2,0.1,-1,1024,2,0.0,Rank-only UCB,256,55.65175781249897,0.791196890825396,0.0,0.0,55.65175781249897,0.791196890825396,0.0,0.0
horizon,32768,0.2,0.1,-1,1024,2,0.0,Audit-only ETC,256,81.39999999996789,18.30591032810956,1024.0,0.0,286.19999999996793,18.305910328109558,0.39702606201171875,0.0017520604084392993
horizon,32768,0.2,0.1,-1,1024,2,0.0,Audit-all UCB,256,155.37636718750238,2.3172763323597696,32768.0,0.0,6708.976367187503,2.3172763323597687,0.4001896381378174,0.0003229598287923667
horizon,32768,0.2,0.1,1,1024,2,0.0,SC-UCB,256,272.58463541668823,5.0195901011617945,1024.0,0.0,477.3846354166883,5.0195901011617945,0.597564697265625,0.0015063701463937592
horizon,32768,0.2,0.1,1,1024,2,0.0,Oracle-scale UCB,256,262.3182291666781,3.990176261078101,0.0,0.0,262.3182291666781,3.990176261078101,0.5999999999999999,1.3904972530845984e-17
horizon,32768,0.2,0.1,1,1024,2,0.0,Naive proxy UCB,256,36.78580729166698,0.5198437754645221,0.0,0.0,36.78580729166698,0.5198437754645221,1.0,0.0
horizon,32768,0.2,0.1,1,1024,2,0.0,Rank-only UCB,256,1054.3471354163648,0.5861471599747088,0.0,0.0,1054.3471354163648,0.5861471599747088,0.0,0.0
horizon,32768,0.2,0.1,1,1024,2,0.0,Audit-only ETC,256,194.79999999994612,24.771617745945907,1024.0,0.0,399.5999999999463,24.771617745945907,0.597564697265625,0.0015063701463937592
horizon,32768,0.2,0.1,1,1024,2,0.0,Audit-all UCB,256,170.30039062499347,2.4552846907566566,32768.0,0.0,6723.9003906249945,2.4552846907566566,0.6002845764160156,0.00027995569071127694
budget,8192,0.2,0.1,-1,0,2,0.0,SC-UCB,256,78.62089843749769,1.2156627293489006,0.0,0.0,78.62089843749769,1.2156627293489006,0.25,0.0
budget,8192,0.2,0.1,-1,0,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,0,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,0,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,0,2,0.0,Audit-only ETC,256,409.6000000000588,3.559672967896572e-15,0.0,0.0,409.6000000000588,3.559672967896572e-15,0.25,0.0
budget,8192,0.2,0.1,-1,0,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,0,2,0.0,SC-UCB,256,220.76236979165668,0.8962742184022604,0.0,0.0,220.76236979165668,0.8962742184022604,0.25,0.0
budget,8192,0.2,0.1,1,0,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,0,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,0,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,0,2,0.0,Audit-only ETC,256,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
budget,8192,0.2,0.1,1,0,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,8,2,0.0,SC-UCB,256,175.65527343751234,6.798587938179062,8.0,0.0,177.25527343751236,6.798587938179062,0.451171875,0.014454780972965634
budget,8192,0.2,0.1,-1,8,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,8,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,8,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,8,2,0.0,Audit-only ETC,256,136.06718750001954,12.067938480129824,8.0,0.0,137.6671875000195,12.067938480129826,0.451171875,0.014454780972965634
budget,8192,0.2,0.1,-1,8,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,8,2,0.0,SC-UCB,256,113.62526041666266,4.712336589415955,8.0,0.0,115.22526041666265,4.712336589415954,0.595703125,0.015731389485922148
budget,8192,0.2,0.1,1,8,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,8,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,8,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,8,2,0.0,Audit-only ETC,256,149.32083333333412,8.504079723066763,8.0,0.0,150.92083333333414,8.504079723066765,0.595703125,0.015731389485922148
budget,8192,0.2,0.1,1,8,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,32,2,0.0,SC-UCB,256,151.67265625000562,4.7158284661178556,32.0,0.0,158.0726562500056,4.7158284661178556,0.4033203125,0.008507102383758779
budget,8192,0.2,0.1,-1,32,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,32,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,32,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,32,2,0.0,Audit-only ETC,256,163.36250000002343,12.50865325484902,32.0,0.0,169.76250000002335,12.50865325484902,0.4033203125,0.008507102383758779
budget,8192,0.2,0.1,-1,32,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,32,2,0.0,SC-UCB,256,100.73177083333015,3.009185300206751,32.0,0.0,107.13177083333015,3.009185300206751,0.6005859375,0.008255433639723999
budget,8192,0.2,0.1,1,32,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,32,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,32,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,32,2,0.0,Audit-only ETC,256,107.84583333333379,8.325021896868135,32.0,0.0,114.24583333333379,8.325021896868135,0.6005859375,0.008255433639723999
budget,8192,0.2,0.1,1,32,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,128,2,0.0,SC-UCB,256,141.07207031250158,3.0325193744099606,128.0,0.0,166.67207031250157,3.03251937440996,0.38897705078125,0.004689475185649782
budget,8192,0.2,0.1,-1,128,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,128,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,128,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,128,2,0.0,Audit-only ETC,256,92.97500000001295,10.504476986729882,128.0,0.0,118.57500000001295,10.504476986729882,0.38897705078125,0.004689475185649782
budget,8192,0.2,0.1,-1,128,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,128,2,0.0,SC-UCB,256,97.633593749997,1.944410851065216,128.0,0.0,123.233593749997,1.944410851065216,0.5958251953125,0.0040239079881304275
budget,8192,0.2,0.1,1,128,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,128,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,128,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,128,2,0.0,Audit-only ETC,256,105.0333333333333,8.182024774575341,128.0,0.0,130.63333333333333,8.182024774575341,0.5958251953125,0.0040239079881304275
budget,8192,0.2,0.1,1,128,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,512,2,0.0,SC-UCB,256,142.28105468750033,2.2089533291321084,512.0,0.0,244.68105468750034,2.2089533291321084,0.3971405029296875,0.0023460415548694474
budget,8192,0.2,0.1,-1,512,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,512,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,512,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,512,2,0.0,Audit-only ETC,256,50.30000000000551,7.138338907123702,512.0,0.0,152.70000000000553,7.138338907123703,0.3971405029296875,0.0023460415548694474
budget,8192,0.2,0.1,-1,512,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,512,2,0.0,SC-UCB,256,94.06341145833053,1.5525000513009706,512.0,0.0,196.46341145833054,1.5525000513009706,0.598663330078125,0.002092761847026152
budget,8192,0.2,0.1,1,512,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,512,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,512,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,512,2,0.0,Audit-only ETC,256,76.53333333333194,7.080489625254126,512.0,0.0,178.93333333333197,7.080489625254128,0.598663330078125,0.002092761847026152
budget,8192,0.2,0.1,1,512,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,2048,2,0.0,SC-UCB,256,141.18867187499987,2.0143419105366767,2048.0,0.0,550.7886718749999,2.0143419105366767,0.3980140686035156,0.0012631381706566644
budget,8192,0.2,0.1,-1,2048,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,2048,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,2048,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,2048,2,0.0,Audit-only ETC,256,54.7999999999998,2.070294096755377,2048.0,0.0,464.39999999999986,2.0702940967553776,0.3980140686035156,0.0012631381706566644
budget,8192,0.2,0.1,-1,2048,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,1,2048,2,0.0,SC-UCB,256,92.9438802083306,1.4582498305404907,2048.0,0.0,502.5438802083306,1.4582498305404907,0.59844970703125,0.0011086334957246882
budget,8192,0.2,0.1,1,2048,2,0.0,Oracle-scale UCB,256,93.85624999999722,1.3342868003764554,0.0,0.0,93.85624999999722,1.3342868003764554,0.5999999999999999,1.3904972530845984e-17
budget,8192,0.2,0.1,1,2048,2,0.0,Naive proxy UCB,256,24.018489583333643,0.37950178293908055,0.0,0.0,24.018489583333643,0.37950178293908055,1.0,0.0
budget,8192,0.2,0.1,1,2048,2,0.0,Rank-only UCB,256,249.64739583332204,0.390889413505091,0.0,0.0,249.64739583332204,0.390889413505091,0.0,0.0
budget,8192,0.2,0.1,1,2048,2,0.0,Audit-only ETC,256,47.733333333333164,3.193326374383328,2048.0,0.0,457.33333333333303,3.19332637438333,0.59844970703125,0.0011086334957246882
budget,8192,0.2,0.1,1,2048,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
budget,8192,0.2,0.1,-1,8192,2,0.0,SC-UCB,256,142.4166015625001,2.0374958910078136,8192.0,0.0,1780.8166015625002,2.037495891007814,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,-1,8192,2,0.0,Oracle-scale UCB,256,142.3496093750004,2.1888145733559288,0.0,0.0,142.3496093750004,2.1888145733559288,0.4000000000000001,6.952486265422992e-18
budget,8192,0.2,0.1,-1,8192,2,0.0,Naive proxy UCB,256,374.2769531250508,0.5980341957248363,0.0,0.0,374.2769531250508,0.5980341957248363,1.0,0.0
budget,8192,0.2,0.1,-1,8192,2,0.0,Rank-only UCB,256,35.38242187499998,0.5768296749772615,0.0,0.0,35.38242187499998,0.5768296749772615,0.0,0.0
budget,8192,0.2,0.1,-1,8192,2,0.0,Audit-only ETC,256,204.80000000001235,1.779836483948286e-15,8192.0,0.0,1843.2000000000119,2.8477383743172574e-14,0.39985084533691406,0.0006496385873276852
budget,8192,0.2,0.1,-1,8192,2,0.0,Audit-all UCB,256,78.1558593749977,1.1236321764425459,8192.0,0.0,1716.555859374998,1.1236321764425459,0.39985084533691406,0.0006496385873276852
